IncidentSize,FireCause,InitialLatitude,InitialLongitude,Month
-4.605170185988091,0,36.207762,-120.09456,7
-4.605170185988091,0,36.203819,-120.099299,5
-4.605170185988091,0,39.309,-123.2995,5
-4.605170185988091,0,36.695946,-119.610321,5
-4.605170185988091,0,33.92905,-116.938188,10
-4.605170185988091,0,35.733774,-120.719257,9
-4.605170185988091,0,37.907617,-121.764667,7
-4.605170185988091,0,38.764839,-122.808815,7
-4.605170185988091,0,33.799968,-117.1099,4
-4.605170185988091,0,40.535859,-122.389033,7
-4.605170185988091,0,40.481533,-122.634983,10
-4.605170185988091,0,34.018909,-117.493903,7
-4.605170185988091,0,33.991778,-117.396996,4
-4.605170185988091,0,40.168444,-122.267771,7
-4.605170185988091,0,38.488333,-123.175367,7
-4.605170185988091,0,33.91831,-116.460277,9
-4.605170185988091,0,37.166372,-121.988632,4
-4.605170185988091,0,39.119997,-121.005026,3
-4.605170185988091,0,37.60995,-121.849433,7
-4.605170185988091,0,34.115212,-116.369039,10
-4.605170185988091,0,34.06585,-116.556717,7
-4.605170185988091,0,37.701817,-122.028983,10
-4.605170185988091,0,36.444878,-119.851361,9
-4.605170185988091,0,36.732973,-120.340816,7
-4.605170185988091,0,38.723055,-121.169722,8
-4.605170185988091,0,33.924966,-116.425304,4
-4.605170185988091,0,35.094513,-120.363895,5
-4.605170185988091,0,40.514533,-122.0314,11
-4.605170185988091,0,40.931667,-120.81005,8
-4.605170185988091,0,37.126008,-120.266829,9
-4.605170185988091,0,40.470033,-122.527967,8
-4.605170185988091,0,33.86889,-116.88165,7
-4.605170185988091,0,32.612392,-116.905724,7
-4.605170185988091,0,40.42182,-120.651352,1
-4.605170185988091,0,40.851872,-124.163848,6
-4.605170185988091,0,39.744829,-122.063885,5
-4.605170185988091,0,36.785982,-120.373796,4
-4.605170185988091,0,37.980283,-120.313467,6
-4.605170185988091,0,37.574,-122.4,5
-4.605170185988091,0,33.925662,-117.238719,6
-4.605170185988091,0,38.800618,-123.013232,7
-4.605170185988091,0,33.575233,-116.074539,6
-4.605170185988091,0,38.424896,-121.968551,6
-4.605170185988091,0,33.668319,-116.163769,5
-4.605170185988091,0,37.37305,-122.403917,8
-4.605170185988091,0,36.624607,-119.323303,7
-4.605170185988091,0,33.609823,-117.083088,4
-4.605170185988091,0,36.941032,-119.90624,4
-4.605170185988091,0,33.826232,-117.296295,5
-4.605170185988091,1,41.08745,-120.470483,9
-4.605170185988091,0,34.419218,-117.468561,6
-4.605170185988091,0,32.615129,-116.611342,7
-4.605170185988091,0,33.757921,-116.302714,5
-4.605170185988091,0,38.955028,-122.722353,5
-4.605170185988091,0,37.658791,-120.449561,10
-4.605170185988091,0,33.554592,-117.048268,7
-4.605170185988091,0,37.661938,-120.14741,9
-4.605170185988091,0,36.85135,-120.028199,7
-4.605170185988091,0,38.293267,-122.432015,7
-4.605170185988091,0,33.979766,-117.548688,9
-4.605170185988091,0,39.09768,-122.793667,5
-4.605170185988091,0,37.891253,-120.488153,9
-4.605170185988091,0,36.71485,-119.6731,7
-4.605170185988091,0,36.56136,-119.628794,7
-4.605170185988091,0,33.940663,-117.267916,10
-4.605170185988091,0,40.667533,-122.875367,5
-4.605170185988091,0,36.370487,-120.335574,5
-4.605170185988091,0,41.08715,-120.90695,4
-4.605170185988091,0,37.092726,-119.552359,10
-4.605170185988091,0,33.824352,-117.502905,7
-4.605170185988091,0,39.682933,-121.626817,4
-4.605170185988091,0,36.576363,-119.6466,7
-4.605170185988091,0,33.718688,-116.914255,10
-4.605170185988091,0,40.45843,-122.27561,7
-4.605170185988091,0,37.55272,-120.541477,6
-4.605170185988091,0,38.296131,-121.17761,5
-4.605170185988091,0,38.753967,-122.153271,8
-4.605170185988091,0,33.75432,-116.286368,10
-4.605170185988091,0,40.7002,-122.807233,7
-4.605170185988091,0,39.515984,-121.580589,6
-4.605170185988091,1,41.257633,-121.999337,6
-4.605170185988091,0,33.389382,-117.105288,7
-4.605170185988091,0,37.386184,-120.718064,5
-4.605170185988091,0,35.00394,-120.360686,5
-4.605170185988091,0,37.346089,-120.54968,5
-4.605170185988091,0,33.703896,-117.338374,5
-4.605170185988091,0,33.971128,-117.521101,8
-4.605170185988091,0,35.601108,-120.650116,7
-4.605170185988091,0,33.74305,-117.046357,5
-4.605170185988091,0,36.77791,-120.721098,10
-4.605170185988091,0,38.511865,-122.703258,9
-4.605170185988091,0,33.953414,-117.298686,10
-4.605170185988091,-1,41.066417,-123.077217,6
-4.605170185988091,0,33.816609,-116.326732,11
-4.605170185988091,0,36.599842,-121.644176,6
-4.605170185988091,0,36.571437,-121.904279,7
-4.605170185988091,0,33.94086,-117.26265,8
-4.605170185988091,0,36.98474,-120.08783,6
-4.605170185988091,0,33.92084,-117.554162,5
-4.605170185988091,0,39.187591,-121.02746,4
-4.605170185988091,0,38.817765,-123.023053,6
-4.605170185988091,0,36.974406,-120.041547,6
-4.605170185988091,0,33.929913,-116.690006,6
-4.605170185988091,0,36.95264,-120.599588,11
-4.605170185988091,0,33.916917,-117.278793,6
-4.605170185988091,0,41.665867,-121.9142,6
-4.605170185988091,0,38.18658,-120.79666,7
-4.605170185988091,0,36.632009,-119.331381,10
-4.605170185988091,0,37.372334,-120.95515,5
-4.605170185988091,0,36.751997,-119.22621,7
-4.605170185988091,0,38.570434,-122.442505,7
-4.605170185988091,0,33.693015,-116.185205,5
-4.605170185988091,0,33.685961,-117.347496,8
-4.605170185988091,0,36.962388,-120.652437,8
-4.605170185988091,0,38.669088,-121.059543,6
-4.605170185988091,0,38.744791,-122.045015,6
-4.605170185988091,0,35.876584,-120.416542,6
-4.605170185988091,0,33.715492,-116.176922,11
-4.605170185988091,0,36.736148,-119.569672,7
-4.605170185988091,0,32.856451,-116.823368,8
-4.605170185988091,0,37.371567,-120.850698,8
-4.605170185988091,0,39.01715,-123.119383,3
-4.605170185988091,0,39.304975,-120.971492,8
-4.605170185988091,0,38.778306,-120.671344,10
-4.605170185988091,0,33.570983,-116.079523,11
-4.605170185988091,0,41.580283,-122.864367,7
-4.605170185988091,0,40.384593,-122.279786,6
-4.605170185988091,0,33.923758,-116.640528,11
-4.605170185988091,0,39.438185,-121.543264,7
-4.605170185988091,0,37.421167,-121.171167,5
-4.605170185988091,0,33.948153,-117.54557,5
-4.605170185988091,0,35.8108,-120.751741,7
-4.605170185988091,0,40.6517,-120.965283,9
-4.605170185988091,0,38.371639,-122.268806,5
-4.605170185988091,0,40.2648,-123.781683,7
-4.605170185988091,0,39.372367,-123.321867,8
-4.605170185988091,0,41.507417,-122.36405,6
-4.605170185988091,0,38.943239,-119.942492,10
-4.605170185988091,0,33.578419,-116.746661,8
-4.605170185988091,0,41.78955,-122.0007,8
-4.605170185988091,0,33.737186,-116.339263,4
-4.605170185988091,0,36.202543,-121.137649,5
-4.605170185988091,0,34.121292,-117.237466,4
-4.605170185988091,0,33.92442,-116.905279,6
-4.605170185988091,0,38.044532,-120.647029,9
-4.605170185988091,0,36.97651,-121.568128,7
-4.605170185988091,0,33.924405,-116.862994,11
-4.605170185988091,0,39.182667,-120.849617,4
-4.605170185988091,0,40.747883,-121.459967,8
-4.605170185988091,0,33.991778,-117.396996,5
-4.605170185988091,0,40.682067,-122.376848,9
-4.605170185988091,0,39.052495,-121.15534,6
-4.605170185988091,0,33.580143,-116.087461,7
-4.605170185988091,0,37.973983,-122.22615,7
-4.605170185988091,0,33.642138,-116.233409,10
-4.605170185988091,0,37.3774,-121.77505,7
-4.605170185988091,0,37.288402,-120.457292,5
-4.605170185988091,0,36.59823,-121.632237,5
-4.605170185988091,0,33.927139,-116.952481,8
-4.605170185988091,0,37.972131,-120.340437,8
-4.605170185988091,0,36.802615,-119.590574,9
-4.605170185988091,0,33.777385,-117.206579,5
-4.605170185988091,0,36.937117,-121.552383,9
-4.605170185988091,0,36.610439,-119.3314,5
-4.605170185988091,0,40.851033,-121.5303,10
-4.605170185988091,0,37.439789,-120.575783,6
-4.605170185988091,0,36.819571,-121.573696,5
-4.605170185988091,0,33.807517,-117.276889,8
-4.605170185988091,0,40.56085,-122.282695,5
-4.605170185988091,0,41.66825,-122.9738,8
-4.605170185988091,0,37.004635,-122.06976,10
-4.605170185988091,0,38.961231,-121.084834,7
-4.605170185988091,0,39.87925,-122.200274,8
-4.605170185988091,0,39.201582,-121.084651,5
-4.605170185988091,0,33.946761,-116.520236,6
-4.605170185988091,0,36.69104,-119.700001,8
-4.605170185988091,0,37.05605,-121.244233,10
-4.605170185988091,0,33.681721,-117.366038,4
-4.605170185988091,0,36.68768,-119.158199,8
-4.605170185988091,0,33.986439,-117.499355,7
-4.605170185988091,0,37.084731,-121.104966,8
-4.605170185988091,0,33.815669,-117.199924,7
-4.605170185988091,0,38.001715,-120.39239,5
-4.605170185988091,0,36.994817,-119.595019,6
-4.605170185988091,0,40.39315,-122.280794,11
-4.605170185988091,0,33.735144,-116.724056,5
-4.605170185988091,0,36.974406,-120.041547,7
-4.605170185988091,0,38.948305,-122.653867,8
-4.605170185988091,0,33.432037,-117.224826,7
-4.605170185988091,0,41.831181,-123.262694,7
-4.605170185988091,0,36.749107,-120.373279,4
-4.605170185988091,0,37.044697,-119.472565,10
-4.605170185988091,0,37.84033,-120.850563,5
-4.605170185988091,0,34.007396,-117.47592,6
-4.605170185988091,0,38.728917,-120.822917,10
-4.605170185988091,0,39.234548,-121.033942,6
-4.605170185988091,0,33.786589,-117.253347,12
-4.605170185988091,0,33.570983,-116.079523,11
-4.605170185988091,0,37.06525,-122.033883,10
-4.605170185988091,0,40.669337,-122.902098,6
-4.605170185988091,0,40.5475,-123.169433,10
-4.605170185988091,0,36.76631,-120.380472,9
-4.605170185988091,0,36.972467,-121.42325,8
-4.605170185988091,0,34.012069,-117.338313,8
-4.605170185988091,0,38.945354,-121.046268,10
-4.605170185988091,0,38.800753,-123.013223,9
-4.605170185988091,0,38.984617,-120.742267,8
-4.605170185988091,0,36.973513,-120.055918,6
-4.605170185988091,0,39.522533,-121.542633,5
-4.605170185988091,0,34.436517,-117.000533,7
-4.605170185988091,0,33.774324,-116.942617,7
-4.605170185988091,0,38.95055,-119.940033,10
-4.605170185988091,0,33.744057,-116.941243,11
-4.605170185988091,0,36.96988,-120.054127,4
-4.605170185988091,0,33.684502,-117.366573,11
-4.605170185988091,0,36.995247,-119.3857,9
-4.605170185988091,0,39.385687,-121.51823,4
-4.605170185988091,0,33.562028,-116.078955,7
-4.605170185988091,0,38.411344,-120.540212,5
-4.605170185988091,0,39.784667,-121.601767,8
-4.605170185988091,0,36.583829,-119.6002,9
-4.605170185988091,0,33.835736,-117.234788,6
-4.605170185988091,0,37.35278,-120.623512,7
-4.605170185988091,0,33.86889,-116.88165,9
-4.605170185988091,0,37.00364,-120.074289,5
-4.605170185988091,0,36.97194,-120.045584,8
-4.605170185988091,0,38.376994,-121.996697,10
-4.605170185988091,0,33.948854,-116.487122,11
-4.605170185988091,0,38.602249,-120.959,7
-4.605170185988091,0,37.231062,-119.747101,3
-4.605170185988091,0,33.975801,-117.473911,8
